email_1 - email_2 - email_3 - email_4
value --  -- date -- time
21.234 -- [BINANCE:NEARUSDT,1H] -- 6-1-23 -- 05:00
-0.824 -- new,[15 : 50 | SMA | Close] [204.764] -- 8-1-23 -- 13:00
2.945 --  -- 10-1-23 -- 10:00
20.055 --  -- 16-1-23 -- 19:00
-3.879 --  -- 17-1-23 -- 23:00
19.009 --  -- 24-1-23 -- 18:00
-5.652 --  -- 27-1-23 -- 07:00
-6.816 --  -- 28-1-23 -- 21:00
-7.098 --  -- 30-1-23 -- 11:00
-3.051 --  -- 5-2-23 -- 15:00
2.858 --  -- 9-2-23 -- 13:00
-3.239 --  -- 13-2-23 -- 05:00
6.172 --  -- 17-2-23 -- 07:00
1.635 --  -- 21-2-23 -- 13:00
-2.657 --  -- 23-2-23 -- 20:00
-0.562 --  -- 28-2-23 -- 05:00
-2.762 --  -- 2-3-23 -- 06:00
-4.133 --  -- 7-3-23 -- 13:00
6.355 --  -- 15-3-23 -- 17:00
6.922 --  -- 19-3-23 -- 09:00
-7.22 --  -- 22-3-23 -- 19:00
-3.678 --  -- 24-3-23 -- 22:00
-1.489 --  -- 27-3-23 -- 07:00
1.847 --  -- 30-3-23 -- 20:00
-3.704 --  -- 2-4-23 -- 15:00
2.592 --  -- 6-4-23 -- 07:00
-2.874 --  -- 8-4-23 -- 20:00
0 --  -- 12-4-23 -- 05:00
1.576 --  -- 15-4-23 -- 00:00
-1.437 --  -- 17-4-23 -- 07:00
-6.319 --  -- 19-4-23 -- 10:00
-2.09 --  -- 27-4-23 -- 05:00
-1.341 --  -- 28-4-23 -- 09:00
-0.313 --  -- 28-4-23 -- 21:00
-1.802 --  -- 1-5-23 -- 06:00
-1.963 --  -- 5-5-23 -- 03:00
-0.108 --  -- 5-5-23 -- 07:00
-2.837 --  -- 6-5-23 -- 06:00
-2.482 --  -- 11-5-23 -- 10:00
-0.243 --  -- 16-5-23 -- 01:00
-1.438 --  -- 18-5-23 -- 19:00
-3.748 --  -- 24-5-23 -- 07:00
2.318 --  -- 29-5-23 -- 18:00
2.982 --  -- 5-6-23 -- 07:00
-0.784 --  -- 9-6-23 -- 18:00
-0.495 --  -- 14-6-23 -- 01:00
-5.768 --  -- 14-6-23 -- 20:00
2.829 --  -- 19-6-23 -- 03:00
7.736 --  -- 23-6-23 -- 04:00
-1.644 --  -- 26-6-23 -- 00:00
-5.722 --  -- 27-6-23 -- 16:00
3.052 --  -- 3-7-23 -- 20:00
-0.746 --  -- 7-7-23 -- 23:00
-2.971 --  -- 9-7-23 -- 14:00
-1.046 --  -- 11-7-23 -- 22:00
-0.828 --  -- 13-7-23 -- 04:00
6.787 --  -- 15-7-23 -- 16:00
-0.601 --  -- 15-7-23 -- 21:00
0.614 --  -- 18-7-23 -- 15:00
-3.177 --  -- 19-7-23 -- 22:00
-0.133 --  -- 21-7-23 -- 12:00
1.898 --  -- 30-7-23 -- 23:00
-1.072 --  -- 3-8-23 -- 14:00
-1.182 --  -- 6-8-23 -- 22:00
0.074 --  -- 9-8-23 -- 23:00
-1.26 --  -- 14-8-23 -- 18:00
-3.286 --  -- 21-8-23 -- 11:00
2.689 --  -- 24-8-23 -- 22:00
-1.909 --  -- 27-8-23 -- 19:00
0.503 --  -- 30-8-23 -- 22:00
-0.444 --  -- 5-9-23 -- 00:00
-0.443 --  -- 6-9-23 -- 05:00
-0.178 --  -- 6-9-23 -- 15:00
1.235 --  -- 10-9-23 -- 12:00
2.11 --  -- 17-9-23 -- 06:00
-0.537 --  -- 19-9-23 -- 04:00
-1.422 --  -- 20-9-23 -- 15:00
-2.959 --  -- 22-9-23 -- 11:00
2.949 --  -- 2-10-23 -- 20:00
-2.267 --  -- 5-10-23 -- 20:00
-0.182 --  -- 8-10-23 -- 00:00
-3.857 --  -- 9-10-23 -- 09:00
0.297 --  -- 17-10-23 -- 14:00
19.763 --  -- 29-10-23 -- 04:00
18.69 --  -- 3-11-23 -- 15:00
0.472 --  -- 3-11-23 -- 20:00
3.41 --  -- 6-11-23 -- 19:00
-7.353 --  -- 9-11-23 -- 21:00
1.157 --  -- 14-11-23 -- 01:00
3.446 --  -- 18-11-23 -- 05:00
6.906 --  -- 21-11-23 -- 08:00
-3.293 --  -- 26-11-23 -- 18:00
0.988 --  -- 30-11-23 -- 09:00
6.113 --  -- 3-12-23 -- 23:00
6.111 --  -- 7-12-23 -- 13:00
3.212 --  -- 10-12-23 -- 15:00
-1.706 --  -- 15-12-23 -- 11:00
-2.495 --  -- 18-12-23 -- 00:00
34.574 --  -- 23-12-23 -- 03:00
17.954 --  -- 27-12-23 -- 09:00
-2.913 --  -- 1-1-24 -- 08:00
-9.357 --  -- 3-1-24 -- 14:00
-8.905 --  -- 5-1-24 -- 14:00
-2.4 --  -- 7-1-24 -- 08:00
-11.881 --  -- 9-1-24 -- 20:00
-3.247 --  -- 12-1-24 -- 16:00
0.119 --  -- 15-1-24 -- 00:00
-3.552 --  -- 18-1-24 -- 15:00
-3.38 --  -- 22-1-24 -- 03:00
6.662 --  -- 29-1-24 -- 02:00
-6.393 --  -- 31-1-24 -- 09:00
-0.876 --  -- 3-2-24 -- 13:00
13.169 --  -- 13-2-24 -- 23:00
-4.871 --  -- 16-2-24 -- 17:00
1.199 --  -- 20-2-24 -- 05:00
18.083 --  -- 28-2-24 -- 03:00
0.479 --  -- 2-3-24 -- 00:00
6.101 --  -- 5-3-24 -- 01:00
12.008 --  -- 8-3-24 -- 11:00
5.004 --  -- 10-3-24 -- 20:00
6.559 --  -- 15-3-24 -- 14:00
-14.818 --  -- 18-3-24 -- 19:00
-9.361 --  -- 22-3-24 -- 01:00
-0.619 --  -- 24-3-24 -- 12:00
7.868 --  -- 27-3-24 -- 08:00
-1.534 --  -- 31-3-24 -- 02:00
-4.947 --  -- 1-4-24 -- 08:00
-2.476 --  -- 5-4-24 -- 10:00
4.989 --  -- 7-4-24 -- 01:00
-4.088 --  -- 10-4-24 -- 01:00
-2.738 --  -- 15-4-24 -- 23:00
3.935 --  -- 20-4-24 -- 02:00
18.437 --  -- 24-4-24 -- 05:00
0.838 --  -- 24-4-24 -- 23:00
-2.398 --  -- 27-4-24 -- 01:00
-1.695 --  -- 29-4-24 -- 01:00
18.252 --  -- 8-5-24 -- 01:00
-0.386 --  -- 11-5-24 -- 02:00
-4.206 --  -- 14-5-24 -- 22:00
3.052 --  -- 17-5-24 -- 23:00
-0.608 --  -- 21-5-24 -- 20:00
-3.813 --  -- 23-5-24 -- 17:00
0.495 --  -- 26-5-24 -- 18:00
-2.981 --  -- 2-6-24 -- 23:00
0.257 --  -- 6-6-24 -- 16:00
-6.629 --  -- 13-6-24 -- 11:00
-4.122 --  -- 17-6-24 -- 06:00
3.347 --  -- 22-6-24 -- 15:00
-2.842 --  -- 23-6-24 -- 21:00
-3.223 --  -- 24-6-24 -- 19:00
-0.038 --  -- 26-6-24 -- 08:00
-0.194 --  -- 28-6-24 -- 04:00
0.959 --  -- 3-7-24 -- 12:00
-4.243 --  -- 7-7-24 -- 23:00
34.307 --  -- 17-7-24 -- 23:00
-3.569 --  -- 21-7-24 -- 07:00
0.754 --  -- 22-7-24 -- 13:00
-2.88 --  -- 28-7-24 -- 04:00
-1.359 --  -- 29-7-24 -- 16:00
-2.882 --  -- 7-8-24 -- 21:00
3.549 --  -- 11-8-24 -- 18:00
2.854 --  -- 15-8-24 -- 03:00
-1.437 --  -- 19-8-24 -- 03:00
21.315 --  -- 25-8-24 -- 19:00
-1.98 --  -- 26-8-24 -- 05:00
-6.765 --  -- 3-9-24 -- 15:00
-4.045 --  -- 5-9-24 -- 20:00
6.231 --  -- 11-9-24 -- 09:00
2.217 --  -- 14-9-24 -- 12:00
-2.2 --  -- 18-9-24 -- 17:00
-3.02 --  -- 20-9-24 -- 21:00
14.865 --  -- 25-9-24 -- 19:00
1.719 --  -- 27-9-24 -- 22:00
-1.057 --  -- 29-9-24 -- 05:00
-3.623 --  -- 30-9-24 -- 05:00
-7.56 --  -- 1-10-24 -- 14:00
2.334 --  -- 5-10-24 -- 22:00
0.938 --  -- 8-10-24 -- 12:00
-0.509 --  -- 13-10-24 -- 11:00
2.115 --  -- 16-10-24 -- 10:00
-1.257 --  -- 19-10-24 -- 21:00
-2.011 --  -- 21-10-24 -- 22:00
0.591 --  -- 25-10-24 -- 11:00
-2.35 --  -- 28-10-24 -- 13:00
-1.506 --  -- 30-10-24 -- 14:00
40.62 --  -- 12-11-24 -- 21:00
8.742 --  -- 17-11-24 -- 20:00
-3.497 --  -- 19-11-24 -- 15:00
15.121 --  -- 26-11-24 -- 02:00
2.387 --  -- 1-12-24 -- 11:00
5.741 --  -- 7-12-24 -- 12:00
0.571 --  -- 13-12-24 -- 09:00
0.149 --  -- 16-12-24 -- 19:00
-7.218 --  -- 18-12-24 -- 00:00
-10.852 --  -- 21-12-24 -- 22:00
4.728 --  -- 25-12-24 -- 20:00
0.332 --  -- 28-12-24 -- 00:00
-0.467 --  -- 29-12-24 -- 22:00
