date,value
4-1-24 | 00:00, 1000
5-1-24 | 00:00,3.871
14-1-24 | 04:30,-8.497
1-2-24 | 12:45,-0.431
4-2-24 | 23:15,-2.686
17-2-24 | 14:15,8.112
21-2-24 | 13:30,-11.96
29-2-24 | 18:00,10.812
6-3-24 | 13:30,9.172
16-3-24 | 04:30,33.136
20-3-24 | 03:00,-10.655
23-3-24 | 19:30,4.555
28-3-24 | 19:30,8.529
1-4-24 | 19:30,-1.294
11-4-24 | 08:15,7.388
17-4-24 | 14:15,-1.046
25-4-24 | 20:15,24.795
29-4-24 | 05:15,0.635
30-4-24 | 06:45,-1.442
8-5-24 | 23:15,-1.219
12-5-24 | 15:00,-2.514
19-5-24 | 07:30,12.561
23-5-24 | 12:00,-3.665
28-5-24 | 06:00,-4.855
4-6-24 | 09:45,-2.664
8-6-24 | 00:00,-10.113
23-6-24 | 22:30,-0.48
24-6-24 | 09:00,-1.069
27-6-24 | 17:15,-7.222
4-7-24 | 06:45,-5.364
9-7-24 | 10:30,5.009
19-7-24 | 15:00,36.264
22-7-24 | 18:45,-2.697
29-7-24 | 14:15,-1.634
13-8-24 | 07:30,5.826
16-8-24 | 14:15,-8.631
21-8-24 | 02:15,-1.423
27-8-24 | 10:30,15.97
15-9-24 | 22:30,3.259
22-9-24 | 17:15,-0.133
29-9-24 | 15:00,21.295
9-10-24 | 23:15,-3.517
17-10-24 | 21:00,-2.594
21-10-24 | 21:00,-1.611
23-10-24 | 06:00,0.366
31-10-24 | 23:15,-9.083
14-11-24 | 15:45,30.327
19-11-24 | 12:45,10.156
27-11-24 | 15:45,9.026
2-12-24 | 21:00,0.173
3-12-24 | 06:00,-0.441
8-12-24 | 21:45,9.438
15-12-24 | 00:00,-5.618
18-12-24 | 06:45,-7.027
23-12-24 | 11:15,-0.565
27-12-24 | 03:45,-8.026
31-12-24 | 09:45,-4.576
BINANCE:NEARUSDT,0.75H
new,[80 : 120 | SMA | Close] [135.923]
