date	time	value
06/01/2023	5:00	21.234
08/01/2023	13:00	-0.824
10/01/2023	10:00	2.945
16/01/2023	19:00	20.055
17/01/2023	23:00	-3.879
24/01/2023	18:00	19.009
27/01/2023	7:00	-5.652
28/01/2023	21:00	-6.816
30/01/2023	11:00	-7.098
05/02/2023	15:00	-3.051
09/02/2023	13:00	2.858
13/02/2023	5:00	-3.239
17/02/2023	7:00	6.172
21/02/2023	13:00	1.635
23/02/2023	20:00	-2.657
28/02/2023	5:00	-0.562
02/03/2023	6:00	-2.762
07/03/2023	13:00	-4.133
15/03/2023	17:00	6.355
19/03/2023	9:00	6.922
22/03/2023	19:00	-7.22
24/03/2023	22:00	-3.678
27/03/2023	7:00	-1.489
30/03/2023	20:00	1.847
02/04/2023	15:00	-3.704
06/04/2023	7:00	2.592
08/04/2023	20:00	-2.874
12/04/2023	5:00	0
15/04/2023	0:00	1.576
17/04/2023	7:00	-1.437
19/04/2023	10:00	-6.319
27/04/2023	5:00	-2.09
28/04/2023	9:00	-1.341
28/04/2023	21:00	-0.313
01/05/2023	6:00	-1.802
05/05/2023	3:00	-1.963
05/05/2023	7:00	-0.108
06/05/2023	6:00	-2.837
11/05/2023	10:00	-2.482
16/05/2023	1:00	-0.243
18/05/2023	19:00	-1.438
24/05/2023	7:00	-3.748
29/05/2023	18:00	2.318
05/06/2023	7:00	2.982
09/06/2023	18:00	-0.784
14/06/2023	1:00	-0.495
14/06/2023	20:00	-5.768
19/06/2023	3:00	2.829
23/06/2023	4:00	7.736
26/06/2023	0:00	-1.644
27/06/2023	16:00	-5.722
03/07/2023	20:00	3.052
07/07/2023	23:00	-0.746
09/07/2023	14:00	-2.971
11/07/2023	22:00	-1.046
13/07/2023	4:00	-0.828
15/07/2023	16:00	6.787
15/07/2023	21:00	-0.601
18/07/2023	15:00	0.614
19/07/2023	22:00	-3.177
21/07/2023	12:00	-0.133
30/07/2023	23:00	1.898
03/08/2023	14:00	-1.072
06/08/2023	22:00	-1.182
09/08/2023	23:00	0.074
14/08/2023	18:00	-1.26
21/08/2023	11:00	-3.286
24/08/2023	22:00	2.689
27/08/2023	19:00	-1.909
30/08/2023	22:00	0.503
05/09/2023	0:00	-0.444
06/09/2023	5:00	-0.443
06/09/2023	15:00	-0.178
10/09/2023	12:00	1.235
17/09/2023	6:00	2.11
19/09/2023	4:00	-0.537
20/09/2023	15:00	-1.422
22/09/2023	11:00	-2.959
02/10/2023	20:00	2.949
05/10/2023	20:00	-2.267
08/10/2023	0:00	-0.182
09/10/2023	9:00	-3.857
17/10/2023	14:00	0.297
29/10/2023	4:00	19.763
03/11/2023	15:00	18.69
03/11/2023	20:00	0.472
06/11/2023	19:00	3.41
09/11/2023	21:00	-7.353
14/11/2023	1:00	1.157
18/11/2023	5:00	3.446
21/11/2023	8:00	6.906
26/11/2023	18:00	-3.293
30/11/2023	9:00	0.988
03/12/2023	23:00	6.113
07/12/2023	13:00	6.111
10/12/2023	15:00	3.212
15/12/2023	11:00	-1.706
18/12/2023	0:00	-2.495
23/12/2023	3:00	34.574
27/12/2023	9:00	17.954
01/01/2024	8:00	-2.913
03/01/2024	14:00	-9.357
05/01/2024	14:00	-8.905
07/01/2024	8:00	-2.4
09/01/2024	20:00	-11.881
12/01/2024	16:00	-3.247
15/01/2024	0:00	0.119
18/01/2024	15:00	-3.552
22/01/2024	3:00	-3.38
29/01/2024	2:00	6.662
31/01/2024	9:00	-6.393
03/02/2024	13:00	-0.876
13/02/2024	23:00	13.169
16/02/2024	17:00	-4.871
20/02/2024	5:00	1.199
28/02/2024	3:00	18.083
02/03/2024	0:00	0.479
05/03/2024	1:00	6.101
08/03/2024	11:00	12.008
10/03/2024	20:00	5.004
15/03/2024	14:00	6.559
18/03/2024	19:00	-14.818
22/03/2024	1:00	-9.361
24/03/2024	12:00	-0.619
27/03/2024	8:00	7.868
31/03/2024	2:00	-1.534
01/04/2024	8:00	-4.947
05/04/2024	10:00	-2.476
07/04/2024	1:00	4.989
10/04/2024	1:00	-4.088
15/04/2024	23:00	-2.738
20/04/2024	2:00	3.935
24/04/2024	5:00	18.437
24/04/2024	23:00	0.838
27/04/2024	1:00	-2.398
29/04/2024	1:00	-1.695
08/05/2024	1:00	18.252
11/05/2024	2:00	-0.386
14/05/2024	22:00	-4.206
17/05/2024	23:00	3.052
21/05/2024	20:00	-0.608
23/05/2024	17:00	-3.813
26/05/2024	18:00	0.495
02/06/2024	23:00	-2.981
06/06/2024	16:00	0.257
13/06/2024	11:00	-6.629
17/06/2024	6:00	-4.122
22/06/2024	15:00	3.347
23/06/2024	21:00	-2.842
24/06/2024	19:00	-3.223
26/06/2024	8:00	-0.038
28/06/2024	4:00	-0.194
03/07/2024	12:00	0.959
07/07/2024	23:00	-4.243
17/07/2024	23:00	34.307
21/07/2024	7:00	-3.569
22/07/2024	13:00	0.754
28/07/2024	4:00	-2.88
29/07/2024	16:00	-1.359
07/08/2024	21:00	-2.882
11/08/2024	18:00	3.549
15/08/2024	3:00	2.854
19/08/2024	3:00	-1.437
25/08/2024	19:00	21.315
26/08/2024	5:00	-1.98
03/09/2024	15:00	-6.765
05/09/2024	20:00	-4.045
11/09/2024	9:00	6.231
14/09/2024	12:00	2.217
18/09/2024	17:00	-2.2
20/09/2024	21:00	-3.02
25/09/2024	19:00	14.865
27/09/2024	22:00	1.719
29/09/2024	5:00	-1.057
30/09/2024	5:00	-3.623
01/10/2024	14:00	-7.56
05/10/2024	22:00	2.334
08/10/2024	12:00	0.938
13/10/2024	11:00	-0.509
16/10/2024	10:00	2.115
19/10/2024	21:00	-1.257
21/10/2024	22:00	-2.011
25/10/2024	11:00	0.591
28/10/2024	13:00	-2.35
30/10/2024	14:00	-1.506
12/11/2024	21:00	40.62
17/11/2024	20:00	8.742
19/11/2024	15:00	-3.497
26/11/2024	2:00	15.121
01/12/2024	11:00	2.387
07/12/2024	12:00	5.741
13/12/2024	9:00	0.571
16/12/2024	19:00	0.149
18/12/2024	0:00	-7.218
21/12/2024	22:00	-10.852
25/12/2024	20:00	4.728
28/12/2024	0:00	0.332
29/12/2024	22:00	-0.467
[BINANCE:NEARUSDT,1H]		
new,[15 : 50 | SMA | Close] [204.764]		

